emp_no,first_name,last_name,title,from_date,to_date,birth_date
448918,Chiradeep,Arlazarov,Senior Engineer,1998-10-06,9999-01-01,1965-01-23
52038,Chikako,Armand,Senior Engineer,1985-05-18,9999-01-01,1965-01-13
485489,Keiichiro,Armand,Senior Engineer,1996-12-13,9999-01-01,1965-01-01
35087,Leif,Ashish,Senior Staff,2001-10-14,9999-01-01,1965-01-17
273286,Brigham,Asmuth,Senior Engineer,1996-01-24,9999-01-01,1965-01-26
288166,Masoud,Asmuth,Staff,1994-09-05,9999-01-01,1965-01-11
261662,Berni,Assaf,Senior Staff,1989-09-08,9999-01-01,1965-01-11
98639,Florina,Assaf,Staff,1996-05-18,9999-01-01,1965-01-29
90292,Koichi,Assaf,Senior Engineer,1998-05-26,9999-01-01,1965-01-09
220029,Demos,Asser,Senior Engineer,1985-11-04,9999-01-01,1965-01-17
400780,Poornachandra,Asser,Engineer,1993-11-07,9999-01-01,1965-01-09
458191,George,Atchley,Staff,1997-07-02,9999-01-01,1965-01-28
92685,Mang,Atchley,Senior Staff,1995-06-07,9999-01-01,1965-01-26
443108,Christfried,Atrawala,Senior Staff,1990-07-13,9999-01-01,1965-01-14
84451,Shiv,Aumann,Senior Engineer,1998-06-14,9999-01-01,1965-01-20
109598,Stamatina,Auyong,Senior Staff,1988-07-05,9999-01-01,1965-02-01
30465,Randi,Avouris,Senior Engineer,1991-07-16,9999-01-01,1965-01-28
222998,Leaf,Awdeh,Senior Staff,1991-02-20,9999-01-01,1965-01-07
205018,Yahiko,Awdeh,Engineer,1998-08-05,9999-01-01,1965-01-26
267304,Jordanka,Axelband,Senior Staff,1994-06-27,9999-01-01,1965-01-06
21843,Karsten,Azadmanesh,Senior Engineer,1985-11-29,9999-01-01,1965-01-09
458790,Ramya,Azadmanesh,Senior Engineer,1994-11-19,9999-01-01,1965-01-17
284711,Martijn,Azevdeo,Senior Engineer,1988-02-10,9999-01-01,1965-01-21
227901,Francesca,Azuma,Senior Staff,2001-06-08,9999-01-01,1965-01-26
83544,Leaf,Baak,Senior Staff,2001-09-05,9999-01-01,1965-01-18
209712,Nimmagadda,Baak,Engineer,1995-10-30,9999-01-01,1965-01-17
260153,Mingdong,Baar,Technique Leader,1991-10-14,9999-01-01,1965-01-28
273396,Wayne,Baba,Engineer,1998-03-07,9999-01-01,1965-01-10
404018,Valery,Babb,Senior Engineer,1998-10-19,9999-01-01,1965-01-11
220611,Yuping,Babb,Senior Staff,2002-01-31,9999-01-01,1965-01-23
34788,Ennio,Babu,Senior Engineer,1994-08-31,9999-01-01,1965-01-27
38103,Masasuke,Babu,Senior Engineer,1993-03-31,9999-01-01,1965-01-12
291669,Faiza,Bach,Engineer,1999-09-13,9999-01-01,1965-01-04
49177,Tze,Bach,Engineer,1999-03-09,9999-01-01,1965-01-03
431576,Masamitsu,Back,Senior Staff,1994-03-25,9999-01-01,1965-01-06
230002,Tadahiro,Backhouse,Senior Engineer,1999-10-02,9999-01-01,1965-01-07
280291,Lenore,Badache,Staff,1998-11-24,9999-01-01,1965-01-26
73516,Qingxiang,Badache,Senior Engineer,1996-06-25,9999-01-01,1965-01-14
426228,Supot,Badache,Engineer,1996-08-17,9999-01-01,1965-01-17
60091,Surveyors,Bade,Senior Staff,1996-04-10,9999-01-01,1965-02-01
108988,Oksana,Baek,Senior Staff,1997-07-20,9999-01-01,1965-01-19
270716,Shunichi,Baer,Staff,1998-02-04,9999-01-01,1965-01-19
38550,JoAnne,Baez,Senior Engineer,1987-02-16,9999-01-01,1965-01-14
447982,Shiv,Baezner,Senior Engineer,1996-12-16,9999-01-01,1965-01-25
285905,Kellyn,Bage,Senior Staff,1994-11-04,9999-01-01,1965-01-09
264939,Bogdan,Bahi,Senior Engineer,1992-02-10,9999-01-01,1965-01-10
479601,Kayoko,Bahi,Staff,1997-02-19,9999-01-01,1965-01-19
247456,Masako,Bahk,Engineer,1997-07-31,9999-01-01,1965-01-16
296718,Kamakshi,Bahl,Senior Engineer,1987-12-22,9999-01-01,1965-01-30
297905,Marc,Bahl,Assistant Engineer,1997-06-18,9999-01-01,1965-01-12
450475,Saeed,Bahl,Senior Staff,1991-01-29,9999-01-01,1965-01-21
455284,Luisa,Baig,Senior Engineer,2002-07-12,9999-01-01,1965-01-09
442002,Ravishankar,Baig,Senior Staff,2000-03-17,9999-01-01,1965-01-03
66757,Yonghong,Baig,Staff,1999-04-10,9999-01-01,1965-01-16
80203,Shakhar,Baik,Staff,1993-12-01,9999-01-01,1965-01-22
293752,Jungsoon,Bail,Senior Staff,1994-02-18,9999-01-01,1965-01-04
211967,Anwar,Bain,Senior Engineer,1998-01-22,9999-01-01,1965-01-07
488752,Nimmagadda,Baja,Senior Staff,2002-02-09,9999-01-01,1965-01-23
264626,Noritoshi,Bakhtari,Senior Staff,1998-02-03,9999-01-01,1965-01-13
247447,Tzu,Bakhtari,Senior Engineer,1999-03-18,9999-01-01,1965-01-28
90084,Renny,Bale,Senior Engineer,1996-11-22,9999-01-01,1965-01-01
478439,Yuichiro,Bale,Technique Leader,1997-11-04,9999-01-01,1965-01-15
233785,Baziley,Ballarin,Senior Staff,1995-07-28,9999-01-01,1965-01-30
420694,Frazer,Barbanera,Senior Staff,1991-11-04,9999-01-01,1965-01-19
411143,Goncalo,Barbanera,Senior Staff,1996-09-01,9999-01-01,1965-01-08
256856,Hongzue,Barbanera,Senior Staff,1995-06-17,9999-01-01,1965-01-03
207401,Shuji,Barbanera,Senior Staff,1993-08-09,9999-01-01,1965-01-04
80948,Harjit,Bardell,Senior Engineer,1996-05-23,9999-01-01,1965-01-27
205660,Kien,Barreiro,Staff,1997-08-25,9999-01-01,1965-01-27
438264,Rasikan,Barreiro,Senior Staff,2000-09-26,9999-01-01,1965-01-19
79763,Sanjoy,Barreiro,Senior Staff,1996-04-09,9999-01-01,1965-01-20
463495,Alenka,Barriga,Senior Staff,1993-05-06,9999-01-01,1965-01-28
84236,Eberhardt,Barriga,Senior Staff,1993-06-03,9999-01-01,1965-01-18
295278,Val,Barvinok,Senior Engineer,2000-01-02,9999-01-01,1965-01-04
435370,Conal,Basart,Senior Staff,1991-05-17,9999-01-01,1965-01-16
71066,Domenick,Basart,Senior Staff,2001-01-04,9999-01-01,1965-01-27
243898,Arch,Basawa,Staff,1998-05-10,9999-01-01,1965-01-09
469253,Baruch,Basawa,Senior Engineer,2001-09-17,9999-01-01,1965-01-17
25488,Ingmar,Basawa,Senior Staff,1997-11-08,9999-01-01,1965-01-19
421312,Mariangiola,Bashian,Engineer,1999-09-18,9999-01-01,1965-01-13
34446,Chinhyun,Bauknecht,Senior Engineer,1986-12-19,9999-01-01,1965-01-31
84315,Kristina,Baumann,Assistant Engineer,1996-09-26,9999-01-01,1965-01-23
445226,Oscar,Baumann,Senior Engineer,1996-01-22,9999-01-01,1965-01-01
404788,Basem,Beausoleil,Engineer,1998-03-16,9999-01-01,1965-01-16
260249,Vugranam,Beausoleil,Staff,1998-05-14,9999-01-01,1965-01-22
292504,Georgi,Bednarek,Senior Engineer,2002-03-02,9999-01-01,1965-01-27
421384,Renny,Bednarek,Senior Staff,1995-06-01,9999-01-01,1965-01-02
273806,Hongzhu,Beetstra,Senior Staff,2000-01-24,9999-01-01,1965-01-01
457337,Xumin,Beidas,Technique Leader,1995-04-27,9999-01-01,1965-01-31
282894,Fay,Bellmore,Senior Engineer,1998-05-03,9999-01-01,1965-01-05
295255,Jacopo,Bellone,Technique Leader,1988-03-13,9999-01-01,1965-01-04
49010,Kazuhisa,Benantar,Senior Staff,1994-10-23,9999-01-01,1965-01-16
480407,Deniz,Bennis,Senior Engineer,1996-06-24,9999-01-01,1965-01-01
488619,Georgy,Bennis,Engineer,1998-04-11,9999-01-01,1965-01-25
20313,Candida,Benveniste,Engineer,1999-01-20,9999-01-01,1965-01-24
298339,King,Benzmuller,Senior Engineer,1995-09-04,9999-01-01,1965-01-11
64023,Laurentiu,Benzmuller,Senior Engineer,1999-11-08,9999-01-01,1965-01-11
46811,Junsik,Berendt,Senior Engineer,1988-04-27,9999-01-01,1965-01-10
432261,Arve,Bergere,Senior Engineer,1994-07-28,9999-01-01,1965-01-30
235780,Sampalli,Bergere,Senior Engineer,1994-04-08,9999-01-01,1965-01-17
204133,Susuma,Bergere,Senior Staff,1996-02-25,9999-01-01,1965-01-22
73743,Anneke,Bernardeschi,Engineer,1999-11-01,9999-01-01,1965-01-15
486068,Yefim,Bernardeschi,Senior Staff,2001-06-26,9999-01-01,1965-01-11
40536,Harngdar,Bernardinello,Senior Engineer,1996-02-29,9999-01-01,1965-01-20
449189,Jahangir,Bernatsky,Senior Staff,1995-09-30,9999-01-01,1965-01-30
257378,Pascal,Bernatsky,Senior Staff,1995-09-04,9999-01-01,1965-01-06
251233,Yucel,Bernini,Senior Engineer,1998-02-19,9999-01-01,1965-01-07
452325,Taiji,Berstel,Senior Engineer,2001-12-02,9999-01-01,1965-01-14
493048,Muzhong,Berztiss,Senior Staff,2001-01-22,9999-01-01,1965-01-31
284561,Duri,Beznosov,Senior Engineer,1988-02-15,9999-01-01,1965-01-03
435774,Olivera,Bharadwaj,Senior Staff,2001-04-01,9999-01-01,1965-01-09
286452,Behnaam,Bierbaum,Engineer,1999-01-31,9999-01-01,1965-01-26
415563,Mrinalini,Bierbaum,Senior Engineer,1994-03-12,9999-01-01,1965-01-21
219035,Kristine,Bierman,Technique Leader,1988-05-13,9999-01-01,1965-01-18
262752,Pramod,Bierman,Engineer,1997-12-12,9999-01-01,1965-01-04
428917,Theron,Billawala,Senior Engineer,2001-02-16,9999-01-01,1965-01-23
222311,Miyeon,Billingsley,Senior Engineer,1992-12-05,9999-01-01,1965-01-20
47262,Gonzalo,Binkley,Senior Engineer,1990-08-16,9999-01-01,1965-01-10
476327,Reinhold,Binkley,Senior Engineer,2000-05-28,9999-01-01,1965-01-31
437369,Kazuhide,Biran,Senior Staff,1995-01-25,9999-01-01,1965-02-01
22185,Huai,Birch,Engineer,2002-03-26,9999-01-01,1965-01-29
77303,Xinglin,Birge,Senior Staff,2001-03-05,9999-01-01,1965-01-18
89048,Otmar,Birjandi,Senior Engineer,1992-03-23,9999-01-01,1965-01-24
288560,Yifei,Birjandi,Senior Staff,1999-02-07,9999-01-01,1965-01-16
432956,Qunsheng,Birrer,Senior Staff,1994-05-13,9999-01-01,1965-01-25
466745,Boalin,Birsak,Senior Staff,2000-10-15,9999-01-01,1965-01-26
260399,Hatem,Birsak,Senior Staff,1995-04-10,9999-01-01,1965-01-30
88422,Jungsoon,Birsak,Technique Leader,1985-04-03,9999-01-01,1965-01-28
290769,Lalit,Blokdijk,Senior Engineer,1999-02-01,9999-01-01,1965-01-26
43733,Huei,Boguraev,Senior Staff,1998-12-31,9999-01-01,1965-01-26
81105,Jaewon,Boissier,Senior Engineer,1998-05-24,9999-01-01,1965-01-14
40283,Sudhanshu,Boissier,Senior Engineer,1993-05-11,9999-01-01,1965-01-07
485817,Mahmut,Bolotov,Engineer,1995-01-10,9999-01-01,1965-01-29
420476,Mariangiola,Bolsens,Senior Staff,1994-06-15,9999-01-01,1965-01-28
467441,Margareta,Bondorf,Senior Engineer,1994-11-07,9999-01-01,1965-01-13
74668,Masako,Bonifati,Senior Staff,1987-04-09,9999-01-01,1965-01-01
451333,Radhika,Bonifati,Senior Staff,1995-03-11,9999-01-01,1965-01-15
17447,Zengping,Boreale,Staff,1998-12-16,9999-01-01,1965-01-11
467176,Przemyslawa,Borovoy,Senior Staff,1998-06-18,9999-01-01,1965-01-05
478799,Shaw,Borovoy,Senior Staff,1991-05-11,9999-01-01,1965-01-18
435042,Brigham,Borstler,Staff,1995-10-09,9999-01-01,1965-01-10
278239,Boaz,Bottner,Staff,1994-02-06,9999-01-01,1965-01-19
262210,Chinho,Bottner,Senior Engineer,1999-07-30,9999-01-01,1965-01-22
245396,Gift,Bottner,Senior Staff,2002-03-04,9999-01-01,1965-01-31
241728,Limsoon,Boudaillier,Senior Engineer,1995-08-12,9999-01-01,1965-01-30
57934,Sanjoy,Boudaillier,Senior Engineer,1997-12-27,9999-01-01,1965-01-25
259718,Stepehn,Bouloucos,Senior Staff,1997-09-16,9999-01-01,1965-01-24
411070,Otmar,Brandsma,Senior Engineer,1992-05-27,9999-01-01,1965-01-29
275158,Satyanarayana,Brandsma,Engineer,1999-12-08,9999-01-01,1965-01-07
403954,Jeanna,Bratten,Senior Engineer,1997-07-26,9999-01-01,1965-01-10
452347,Shigeichiro,Brattka,Senior Staff,2001-07-13,9999-01-01,1965-01-07
230865,Takushi,Brattka,Staff,1999-03-09,9999-01-01,1965-01-02
228554,Bilhanan,Brendel,Senior Staff,1990-12-23,9999-01-01,1965-01-03
254044,Gunilla,Brendel,Senior Engineer,2000-04-10,9999-01-01,1965-01-16
81995,Sreekrishna,Brender,Senior Engineer,1996-03-21,9999-01-01,1965-01-10
239415,Susumu,Brender,Senior Engineer,2001-04-17,9999-01-01,1965-01-01
64632,Zsolt,Brender,Senior Staff,1996-02-21,9999-01-01,1965-01-07
88103,Goo,Bresenham,Senior Staff,1999-01-31,9999-01-01,1965-01-09
22451,Jasminko,Bresenham,Senior Staff,1996-12-15,9999-01-01,1965-01-27
62245,Adel,Bressoud,Engineer,1995-08-30,9999-01-01,1965-01-01
224135,Annemarie,Bressoud,Engineer,1998-06-23,9999-01-01,1965-01-02
497174,Sanjiv,Bressoud,Senior Engineer,1998-04-27,9999-01-01,1965-01-02
21909,Mohammed,Brizzi,Senior Staff,1998-12-28,9999-01-01,1965-01-04
482885,Shaunak,Brizzi,Senior Engineer,2000-09-01,9999-01-01,1965-01-29
256216,Halsur,Brodal,Engineer,1997-11-22,9999-01-01,1965-01-01
205627,Stabislas,Broder,Senior Engineer,2001-07-16,9999-01-01,1965-01-21
294652,Hironobu,Brodie,Senior Engineer,1993-09-17,9999-01-01,1965-01-27
468773,Baziley,Brookner,Senior Engineer,1999-09-22,9999-01-01,1965-01-27
260408,Sasan,Brookner,Senior Staff,2001-09-03,9999-01-01,1965-01-19
419099,Heon,Broomell,Staff,1998-05-06,9999-01-01,1965-01-15
426644,Zejun,Broomell,Senior Engineer,2002-01-19,9999-01-01,1965-01-13
41137,Bikash,Buchter,Senior Staff,1992-11-22,9999-01-01,1965-01-20
263012,Hideo,Buchter,Staff,1999-05-01,9999-01-01,1965-01-09
71243,Kinh,Buchter,Senior Engineer,1993-03-29,9999-01-01,1965-01-10
285906,Arnould,Buescher,Engineer,1998-03-26,9999-01-01,1965-01-02
239706,Arunas,Bugrara,Assistant Engineer,1997-04-03,9999-01-01,1965-01-15
15058,Bouchung,Bugrara,Senior Staff,1998-06-18,9999-01-01,1965-01-30
232723,Tesuya,Bugrara,Engineer,2002-02-13,9999-01-01,1965-01-14
444465,Prasadram,Bultermann,Senior Engineer,1997-08-29,9999-01-01,1965-01-13
481050,Weiru,Burnard,Senior Staff,1999-10-15,9999-01-01,1965-01-16
244711,Rosli,Butner,Engineer,1997-03-19,9999-01-01,1965-01-25
421022,Shigeaki,Butner,Senior Staff,1996-07-13,9999-01-01,1965-01-26
258470,Weiwu,Butner,Staff,1995-02-14,9999-01-01,1965-01-04
37945,Suzette,Butterworth,Senior Engineer,1994-02-19,9999-01-01,1965-01-02
290075,Boalin,Byoun,Senior Staff,1996-09-30,9999-01-01,1965-01-15
58497,Yechiam,Cairo,Senior Staff,1996-07-12,9999-01-01,1965-01-22
295268,Eben,Calkin,Senior Staff,2001-12-19,9999-01-01,1965-01-28
29265,Gilbert,Calkin,Senior Staff,1994-03-21,9999-01-01,1965-01-14
17988,Mabhin,Calkin,Senior Engineer,1997-11-30,9999-01-01,1965-01-31
85414,Chiradeep,Callaway,Staff,1999-07-30,9999-01-01,1965-01-14
34261,Kyoichi,Callaway,Senior Staff,1996-12-29,9999-01-01,1965-01-05
200789,Susumu,Camurati,Senior Staff,1997-12-14,9999-01-01,1965-01-14
294527,Ashish,Candan,Senior Staff,1992-02-02,9999-01-01,1965-01-04
92841,Claude,Candan,Senior Staff,1993-08-04,9999-01-01,1965-01-22
66382,Domenico,Candan,Engineer,1997-07-13,9999-01-01,1965-01-04
409805,Frazer,Candan,Senior Engineer,1999-03-05,9999-01-01,1965-01-15
272860,Minghong,Candan,Assistant Engineer,1994-02-10,9999-01-01,1965-02-01
54800,Breannda,Cangellaris,Staff,2000-01-27,9999-01-01,1965-01-13
21181,Jianhui,Cangellaris,Engineer,1999-10-06,9999-01-01,1965-01-21
411082,Martine,Cangellaris,Senior Engineer,1998-04-28,9999-01-01,1965-01-08
88411,Lena,Cannane,Engineer,2000-01-28,9999-01-01,1965-01-31
14127,Magdalena,Cannard,Senior Engineer,2002-04-22,9999-01-01,1965-01-10
109620,Mani,Cannata,Senior Staff,1995-06-21,9999-01-01,1965-01-02
49464,Siddarth,Cappelletti,Staff,1999-09-10,9999-01-01,1965-01-14
39036,Changho,Cappelli,Staff,1996-05-04,9999-01-01,1965-01-08
62033,Heeju,Cappelli,Senior Engineer,1994-01-15,9999-01-01,1965-01-24
78469,Leucio,Cappelli,Staff,1997-08-22,9999-01-01,1965-01-28
95181,Yishai,Cappelli,Staff,1997-01-30,9999-01-01,1965-01-28
214215,Xiaoqiang,Cardazo,Senior Staff,1993-05-28,9999-01-01,1965-01-25
53314,Eberhardt,Carrera,Staff,1999-02-23,9999-01-01,1965-01-06
17970,Filipp,Carrere,Technique Leader,1989-01-09,9999-01-01,1965-01-06
246244,George,Casperson,Staff,2000-01-20,9999-01-01,1965-01-09
94416,Aran,Cesareni,Senior Staff,1990-02-10,9999-01-01,1965-01-01
444208,Irena,Cesareni,Senior Staff,1985-10-30,9999-01-01,1965-01-27
233765,Kotesh,Chachaty,Senior Engineer,1997-03-24,9999-01-01,1965-01-20
224335,Perry,Chachaty,Senior Engineer,1992-07-22,9999-01-01,1965-01-29
467886,Sivanarayana,Chandrasekhar,Senior Staff,1996-01-24,9999-01-01,1965-01-02
429569,Fumiya,Chappelet,Engineer,1999-09-04,9999-01-01,1965-01-03
481397,Luisa,Chelton,Assistant Engineer,1998-08-13,9999-01-01,1965-01-31
214789,Arfst,Chepyzhov,Senior Engineer,1997-02-06,9999-01-01,1965-01-28
90518,Fumiko,Chepyzhov,Senior Staff,1997-01-27,9999-01-01,1965-01-24
63631,Falguni,Cherinka,Senior Engineer,1986-09-08,9999-01-01,1965-01-22
40983,Marla,Cherinka,Technique Leader,1986-12-01,9999-01-01,1965-01-17
480268,Gaurav,Cheshire,Technique Leader,1989-03-30,9999-01-01,1965-01-18
472052,Godehard,Chinal,Assistant Engineer,1995-12-09,9999-01-01,1965-01-26
97018,Jeanna,Chinen,Senior Engineer,1994-01-01,9999-01-01,1965-01-09
56847,Menkae,Chinin,Senior Engineer,1989-08-19,9999-01-01,1965-01-14
107737,Fabrizio,Chleq,Senior Engineer,1999-07-31,9999-01-01,1965-01-23
408019,Shridhar,Chleq,Senior Engineer,1996-03-21,9999-01-01,1965-01-01
240870,Francesca,Chorvat,Senior Staff,1993-03-03,9999-01-01,1965-01-06
109953,Godehard,Chorvat,Senior Staff,1996-04-10,9999-01-01,1965-01-26
489755,Matk,Chorvat,Senior Staff,2000-12-29,9999-01-01,1965-01-14
400046,Hilari,Christ,Senior Staff,1991-01-19,9999-01-01,1965-01-12
99373,Xiaobin,Christianini,Senior Staff,1991-12-25,9999-01-01,1965-01-13
222319,Matt,Chvatal,Senior Engineer,1994-11-09,9999-01-01,1965-01-20
30484,Sailaja,Chvatal,Staff,1999-05-18,9999-01-01,1965-01-11
295857,Kankanahalli,Ciolek,Senior Staff,1998-12-26,9999-01-01,1965-01-17
498838,Sanjay,Ciolek,Senior Staff,1998-12-13,9999-01-01,1965-01-16
60238,Erzsebet,Claffy,Staff,1997-03-03,9999-01-01,1965-01-23
408953,Jolita,Claffy,Senior Engineer,1993-12-24,9999-01-01,1965-01-26
82919,Shigeu,Claffy,Engineer,1998-02-03,9999-01-01,1965-01-05
86213,Kristine,Clemencon,Senior Staff,1996-04-21,9999-01-01,1965-01-28
474763,Mayuko,Clouatre,Engineer,1997-09-04,9999-01-01,1965-01-07
244714,Poorav,Clouatre,Senior Engineer,1996-05-06,9999-01-01,1965-01-27
446121,Fay,Cochrane,Staff,1999-12-13,9999-01-01,1965-01-11
408654,Yongqiao,Cochrane,Senior Staff,1991-10-27,9999-01-01,1965-01-09
282547,Nahum,Codenie,Engineer,1999-06-14,9999-01-01,1965-01-18
469269,Weiyi,Codenie,Senior Engineer,1996-05-27,9999-01-01,1965-01-23
83509,Breannda,Collavizza,Senior Engineer,1994-10-12,9999-01-01,1965-01-04
290441,Gregory,Collavizza,Senior Staff,1993-09-08,9999-01-01,1965-01-25
33722,Anwar,Collette,Senior Engineer,1994-03-22,9999-01-01,1965-01-15
441536,Chinho,Collette,Senior Engineer,1990-08-07,9999-01-01,1965-01-10
52639,Arup,Colorni,Senior Staff,1996-02-05,9999-01-01,1965-01-09
469104,Nadjib,Comellas,Senior Engineer,2002-04-18,9999-01-01,1965-01-21
427805,Haldun,Compeau,Senior Staff,1997-10-15,9999-01-01,1965-01-21
89346,Mansur,Comyn,Engineer,1999-08-31,9999-01-01,1965-01-13
74800,Yuuichi,Conde,Senior Engineer,1999-03-08,9999-01-01,1965-01-25
425830,Guther,Conia,Engineer,1999-02-13,9999-01-01,1965-01-30
482755,Jouni,Conia,Senior Staff,1999-10-31,9999-01-01,1965-01-03
247612,Chiranjit,Constantine,Engineer,1997-05-25,9999-01-01,1965-01-04
252185,Chaosheng,Conta,Engineer,2002-04-14,9999-01-01,1965-01-01
30035,Tetsushi,Conta,Senior Staff,1995-07-04,9999-01-01,1965-01-08
24394,Zhonghui,Conta,Staff,1994-09-10,9999-01-01,1965-01-04
69878,Chinya,Cooke,Engineer,1997-01-29,9999-01-01,1965-01-24
492000,Valeska,Cools,Senior Staff,1999-12-16,9999-01-01,1965-01-10
225964,Mooi,Cooman,Senior Engineer,1998-06-07,9999-01-01,1965-01-19
484142,Perry,Cooman,Senior Staff,1993-04-22,9999-01-01,1965-01-05
461801,Sumali,Cooman,Senior Staff,2000-02-16,9999-01-01,1965-01-03
87353,Quingbo,Coombs,Senior Engineer,1999-01-17,9999-01-01,1965-01-07
88958,Vojin,Coombs,Senior Staff,2002-07-23,9999-01-01,1965-01-22
414551,Elliott,Copas,Senior Engineer,1999-09-13,9999-01-01,1965-01-22
254821,Tonny,Couchot,Staff,1994-12-12,9999-01-01,1965-01-24
93549,Arie,Coullard,Senior Staff,1998-04-15,9999-01-01,1965-02-01
209565,Dante,Covnot,Senior Staff,1998-05-28,9999-01-01,1965-01-09
281570,Zijian,Covnot,Assistant Engineer,1994-09-13,9999-01-01,1965-01-08
230689,Dietrich,Crabtree,Senior Staff,1986-05-24,9999-01-01,1965-01-14
216342,Aiichiro,Cromarty,Senior Engineer,2000-06-09,9999-01-01,1965-01-22
105731,Sachem,Cromarty,Engineer,1996-08-19,9999-01-01,1965-01-15
94331,Ramzi,Cronau,Technique Leader,1999-09-03,9999-01-01,1965-01-26
238949,Minghong,Cronin,Senior Staff,1987-10-04,9999-01-01,1965-01-09
107792,Shahab,Crooks,Senior Staff,2001-03-18,9999-01-01,1965-01-13
406847,Alexius,Crouzet,Staff,1999-10-05,9999-01-01,1965-01-24
18617,Surveyors,Crouzet,Senior Staff,1998-04-24,9999-01-01,1965-01-21
462795,Somnath,Cummings,Senior Staff,2002-07-10,9999-01-01,1965-01-05
79310,Jeong,Cunliffe,Senior Staff,1996-10-27,9999-01-01,1965-01-24
442312,Zengping,Cusworth,Senior Engineer,1997-06-06,9999-01-01,1965-01-05
255657,Oldrich,Cyre,Senior Engineer,1994-02-10,9999-01-01,1965-01-20
240438,Temple,Cyre,Senior Staff,1999-10-01,9999-01-01,1965-01-02
246764,Shuzo,Czaja,Staff,1997-11-29,9999-01-01,1965-01-04
261990,Volkmar,Czaja,Senior Staff,1998-04-01,9999-01-01,1965-01-16
46834,Tooru,Daescu,Senior Staff,1998-03-20,9999-01-01,1965-01-22
408417,Tsz,Daescu,Staff,1994-01-29,9999-01-01,1965-01-19
494088,Phule,Dahlbom,Senior Engineer,1997-02-06,9999-01-01,1965-01-10
26788,Zongyan,Dalphin,Senior Engineer,1993-04-23,9999-01-01,1965-01-25
446897,Takahiro,Dalton,Technique Leader,1992-09-30,9999-01-01,1965-01-22
418860,Ymte,Dalton,Senior Staff,1997-11-22,9999-01-01,1965-02-01
21188,Piyush,Danecki,Engineer,2000-01-08,9999-01-01,1965-01-21
213140,Tru,Danecki,Staff,1997-03-31,9999-01-01,1965-01-10
466064,Temple,Danlos,Senior Staff,1994-06-13,9999-01-01,1965-01-31
90692,Rajmohan,DasSarma,Senior Staff,1990-09-14,9999-01-01,1965-01-03
221126,Tesuya,dAstous,Senior Engineer,1995-11-30,9999-01-01,1965-01-23
496978,Danco,Debuse,Senior Staff,1998-09-10,9999-01-01,1965-01-30
68416,Munenori,Debuse,Senior Engineer,1990-11-08,9999-01-01,1965-01-27
279280,Niranjan,Debuse,Senior Engineer,2001-09-21,9999-01-01,1965-01-09
445941,Masako,Dechter,Technique Leader,1985-09-25,9999-01-01,1965-01-11
471532,Feiyu,Decleir,Technique Leader,1998-09-13,9999-01-01,1965-01-17
